client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,variation
4073560,20.0,240.0,35.5,M,3.0,168527.24,6.0,9.0,control
1938766,19.0,228.0,26.5,F,2.0,66637.25,6.0,9.0,control
7378177,18.0,220.0,18.0,M,3.0,36657.26,1.0,4.0,control
1198324,18.0,217.0,78.0,F,2.0,43395.02,6.0,9.0,control
9041204,15.0,190.0,55.0,F,2.0,75966.26999999999,2.0,5.0,control
3756833,15.0,190.0,49.5,F,2.0,97944.61,2.0,5.0,control
8843033,14.0,170.0,56.5,F,2.0,25769.13,1.0,4.0,control
5375695,7.0,89.0,60.5,U,3.0,332755.96,6.0,9.0,control
2167877,13.0,165.0,42.0,M,2.0,302664.27,1.0,4.0,control
4496382,5.0,71.0,55.0,U,3.0,51041.15,2.0,5.0,control
1993788,12.0,155.0,62.5,F,2.0,560641.25,3.0,6.0,control
2374934,7.0,85.0,71.0,U,2.0,165517.83000000002,3.0,7.0,control
3828797,15.0,181.0,33.0,M,2.0,120234.92,6.0,9.0,control
4577314,12.0,145.0,25.5,M,3.0,64847.12,2.0,5.0,control
6110105,5.0,70.0,55.5,U,2.0,36105.73,5.0,8.0,control
8002094,7.0,87.0,29.5,U,2.0,32186.63,2.0,5.0,control
8694523,26.0,315.0,58.5,M,2.0,223116.94,4.0,7.0,control
8208998,6.0,79.0,60.5,U,2.0,428956.23,6.0,9.0,control
5376525,14.0,176.0,27.5,F,2.0,33212.5,3.0,6.0,control
4341826,3.0,39.0,75.0,U,2.0,117969.01,2.0,5.0,control
9094850,10.0,131.0,69.0,F,2.0,157548.84000000003,2.0,5.0,control
5067166,14.0,168.0,65.5,U,2.0,27748.53,1.0,4.0,control
9672716,8.0,106.0,69.5,M,2.0,57980.39,3.0,6.0,control
3258618,6.0,81.0,24.5,U,3.0,146782.8,6.0,9.0,control
1936828,16.0,196.0,46.5,F,2.0,96514.14,1.0,4.0,control
9066243,8.0,97.0,30.5,U,2.0,38193.84,0.0,3.0,control
4666259,4.0,58.0,23.0,U,2.0,24980.01,0.0,3.0,control
5706691,16.0,194.0,38.5,F,2.0,465087.18,0.0,3.0,control
9177631,8.0,97.0,39.0,M,2.0,27448.89,3.0,6.0,control
2771409,15.0,182.0,74.5,M,2.0,129374.74,5.0,9.0,control
6968302,13.0,159.0,65.0,F,2.0,33414.7,0.0,3.0,control
2782533,6.0,73.0,26.5,U,2.0,52298.66,6.0,9.0,control
2495009,6.0,83.0,37.0,U,2.0,25093.63,4.0,7.0,control
1609577,24.0,295.0,41.0,M,2.0,46362.9,6.0,9.0,control
1786877,21.0,262.0,53.5,F,2.0,50405.14,3.0,6.0,control
3017579,21.0,254.0,54.0,M,2.0,184140.45,3.0,7.0,control
8304087,15.0,183.0,73.5,M,2.0,159830.05,5.0,8.0,control
5830177,6.0,81.0,72.0,U,2.0,215881.3,6.0,9.0,control
4828534,12.0,150.0,35.0,M,2.0,77713.47,0.0,3.0,control
1678227,4.0,59.0,29.0,U,2.0,50289.86,1.0,4.0,control
2679961,14.0,178.0,48.5,M,2.0,30240.47,1.0,4.0,control
173784,5.0,67.0,38.0,U,2.0,37187.05,2.0,5.0,control
7999087,15.0,191.0,56.5,F,2.0,59651.35,2.0,5.0,control
